
price,sqft,bedrooms,bathrooms,location,year_built,condition
495000,1527,2,1.5,Suburb,1956,Good
752000,2526,3,2.5,Downtown,1998,Excellent
319000,1622,2,1.5,Rural,1975,Fair
1210000,3102,4,3.0,Waterfront,2005,Excellent
462000,1835,2,2.0,Urban,1982,Good
401000,1742,2,1.5,Suburb,1963,Good
891000,2950,3,2.5,Downtown,2001,Excellent
276000,1422,2,1.0,Rural,1952,Fair
1680000,3850,5,4.5,Waterfront,2012,Excellent
527000,2010,3,2.0,Urban,1993,Good
338000,1525,2,1.5,Suburb,1965,Fair
615000,2230,3,2.0,Downtown,1986,Good
298000,1650,2,1.5,Rural,1958,Fair
1140000,3050,4,3.5,Waterfront,2003,Excellent
482000,1925,3,2.0,Urban,1979,Good
425000,1720,2,2.0,Suburb,1970,Good
729000,2640,3,2.5,Downtown,1995,Excellent
251000,1380,2,1.0,Rural,1948,Poor
890000,2890,4,3.0,Mountain,2008,Excellent
512000,2030,3,2.0,Urban,1988,Good
375000,1620,2,1.5,Suburb,1962,Fair
552000,2150,3,2.0,Downtown,1982,Good
348000,1750,2,1.5,Rural,1972,Fair
1380000,3480,4,4.0,Waterfront,2015,Excellent
492000,1980,3,2.0,Urban,1980,Good
440000,1830,3,2.0,Suburb,1975,Good
682000,2420,3,2.5,Downtown,1990,Good
261000,1450,2,1.0,Rural,1950,Poor
1250000,3250,4,3.5,Waterfront,2010,Excellent
535000,2080,3,2.5,Urban,1995,Good
398000,1680,2,2.0,Suburb,1968,Fair
587000,2180,3,2.0,Downtown,1984,Good
325000,1720,2,1.5,Rural,1962,Fair
1090000,3000,4,3.0,Waterfront,2000,Good
502000,1950,3,2.0,Urban,1982,Good
420000,1750,2,2.0,Suburb,1972,Good
695000,2550,3,2.5,Downtown,1992,Excellent
279000,1480,2,1.0,Rural,1953,Fair
1580000,3680,5,4.0,Waterfront,2018,Excellent
537000,2050,3,2.0,Urban,1990,Good
357000,1580,2,1.5,Suburb,1960,Fair
582000,2200,3,2.0,Downtown,1985,Good
